artist,告白/求婚,失戀/分手,工作/讀書,派對/狂歡,通勤/開車,運動
"Alok, Zeeba, Portugal. The Man",False,False,False,False,False,False
Alpha Wave Movement,False,False,False,False,False,False
AlphaLove,False,False,False,False,False,False
Alphadog,False,False,False,False,False,False
Alphadogs,False,False,False,False,False,False
Alpharock,False,False,False,False,False,False
"Alpine Decline, The Bedstars, 埃莉諾, LOW BOW, 最後三分鍾, Soviet Pop, The Fuzz, The Maples, X is Y, 迷塗, The Dyne, iimmune",False,False,False,False,False,False
Alvaro Soler,False,False,False,False,False,False
Alvin Queen Trio,False,False,False,False,False,False
Always Summer,False,False,False,False,False,False
Aly & AJ,False,False,False,False,False,False
Aly & Fila (亞力與斐拉),False,False,False,False,False,False
Amanda Cy,False,False,False,False,False,False
Amaranthe,False,False,False,False,False,False
Amason,False,False,False,False,False,False
"Amazing Spa Music, Alpha Brain Waves, Relaxing Music",False,False,False,False,False,False
"Amber Mark, Anderson .Paak",False,False,False,False,False,False
Ambrose Akinmusire,False,False,False,False,False,False
Ambulo,False,False,False,False,False,False
Amelia Warner,False,False,False,False,False,False
Amelie Lens,False,False,False,False,False,False
American Authors,False,False,False,False,False,False
Ameritz - Tribute,False,False,False,False,False,False
Ami,False,False,False,False,False,False
Amind Two Guys,False,False,False,False,False,False
Aminé,False,False,False,False,False,False
Amorphous,False,False,False,False,False,False
Amplite,False,False,False,False,False,False
Amtrac,False,False,False,False,False,False
Amy Ahn,False,False,False,False,False,False
Amy Lauren (艾咪蘿倫),False,False,False,False,False,False
Amy Shark,False,False,False,False,False,False
Amy Winehouse (艾美懷絲),False,False,False,False,False,False
An Introduction to Youth,False,False,False,False,False,False
An&Ca,False,False,False,False,False,False
"Anabel Englund, Kamino",False,False,False,False,False,False
Anael & Bradfield,False,False,False,False,False,False
Analog Heart,False,False,False,False,False,False
Ananya Birla,False,False,False,False,False,False
Anastacia (安娜賈西亞),False,False,False,False,False,False
Anatomy Rabbit,False,False,False,False,False,False
Andain,False,False,False,False,False,False
Andante : M Christmas,False,False,False,False,False,False
Andero & Nectum,False,False,False,False,False,False
Anders Holte (安德斯‧霍特),False,False,False,False,False,False
Anderson .Paak,False,False,False,False,False,False
Andr,False,False,False,False,False,False
Andra Day,False,False,False,False,False,False
"Andrea Datzman, Curtis Green",False,False,False,False,False,False
"Andreas Ottensamer, Julien Quentin",False,False,False,False,False,False
"Andreas Ottensamer, Schumann Quartett, Gunars Upatnieks",False,False,False,False,False,False
Andreas Wijk,False,False,False,False,False,False
Andrew Bayer (安德魯貝爾),False,False,False,False,False,False
Andrew Belle,False,False,False,False,False,False
Andrew Gold,False,False,False,False,False,False
Andrew Land,False,False,False,False,False,False
"Andrew Lloyd Webber, ‘Jesus Christ Superstar’ 1996 London Cast",False,False,False,False,False,False
Andrew Rayel,False,False,False,False,False,False
"Andrew Rayel, Digital X",False,False,False,False,False,False
"Andrew Rayel, Robbie Seed, Jimmy Chou",False,False,False,False,False,False
Andrew Wyatt,False,False,False,False,False,False
Andreya Triana,False,False,False,False,False,False
Andria Rose,False,False,False,False,False,False
Andromedik,False,False,False,False,False,False
Andsick,False,False,False,False,False,False
Andup (앤덥),False,False,False,False,False,False
Andy C,False,False,False,False,False,False
Andy Caldwell (安迪寇威爾),False,False,False,False,False,False
Andy Gibb (安迪吉普),False,False,False,False,False,False
Andy Grammer (安迪葛瑞墨),False,False,False,False,False,False
"Andy Moor, Ashley Wallbridge",False,False,False,False,False,False
Andy Williams (安迪威廉斯),False,False,False,True,False,False
"AndyG, CAMPS",False,False,False,False,False,False
Angela Bofill (安琪拉波菲),False,False,False,False,False,False
Angus Tung (童安格),False,False,False,False,False,False
Animal Confession,False,False,False,False,False,False
Anish Sood,False,False,False,False,False,False
Anita Baker (安妮塔貝克),False,False,False,False,False,False
Anita Ward,False,False,False,False,False,False
Anitta,False,False,False,False,False,False
"Anja Lechner, Pablo Márquez",False,False,False,False,False,False
Anjunabeats Club Mixes,False,False,False,False,False,False
Ann Annie,False,False,False,False,False,False
Anna Azusa Fujita,False,False,False,False,False,False
Anna Kendrick,False,False,False,False,False,False
Anna Lunoe,False,False,False,False,False,False
Anna Of The North,False,False,False,False,False,False
Anna Ross,False,False,False,False,False,False
"Anna of the North, Gus Dapperton",False,False,False,False,False,False
Anne-Marie,True,True,True,False,True,True
Anne-Marie x KSI x Digital Farm Animals,False,False,False,False,False,False
"Anne-Marie, Little Mix",False,False,False,False,False,False
"Anne-Marie, MINNIE, (G)I-DLE",False,False,False,False,False,False
"Anne-Marie, Niall Horan",False,False,False,False,False,False
Annie Lennox (安妮藍妮克絲),False,False,False,False,False,False
Annika Wells,False,False,False,False,False,False
Anonymous Artists (어나니머스 아티스트),False,False,False,False,False,False
